origins,destinations,durations,departure_times,distance
"108-35 167th St, Jamaica, NY 11433, USA","134 Springfield Blvd, St. Albans, NY 11413, USA",21 mins,1611586800,2.6 mi
"108-35 167th St, Jamaica, NY 11433, USA","47-01 Queens Blvd, Sunnyside, NY 11104, USA",48 mins,1611586800,8.9 mi
"102-29 215th St, Jamaica, NY 11429, USA","115-20 Liberty Ave, Jamaica, NY 11419, USA",55 mins,1611586800,5.9 mi
"102-29 215th St, Jamaica, NY 11429, USA","9525 Church Ave, Brooklyn, NY 11212, USA",1 hour 32 mins,1611586800,12.5 mi
"102-29 215th St, Jamaica, NY 11429, USA","341 Eastern Pkwy, Brooklyn, NY 11216, USA",1 hour 35 mins,1611586800,22.7 mi
"102-29 215th St, Jamaica, NY 11429, USA","134 Springfield Blvd, St. Albans, NY 11413, USA",30 mins,1611586800,2.9 mi
"102-29 215th St, Jamaica, NY 11429, USA","47-01 Queens Blvd, Sunnyside, NY 11104, USA",1 hour 3 mins,1611586800,11.1 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","115-20 Liberty Ave, Jamaica, NY 11419, USA",1 hour 17 mins,1611586800,21.6 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","9525 Church Ave, Brooklyn, NY 11212, USA",1 hour 26 mins,1611586800,17.9 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","341 Eastern Pkwy, Brooklyn, NY 11216, USA",57 mins,1611586800,14.4 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","134 Springfield Blvd, St. Albans, NY 11413, USA",1 hour 43 mins,1611586800,22.3 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","47-01 Queens Blvd, Sunnyside, NY 11104, USA",47 mins,1611586800,11.5 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","115-20 Liberty Ave, Jamaica, NY 11419, USA",2 hours 4 mins,1611586800,26.1 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","9525 Church Ave, Brooklyn, NY 11212, USA",1 hour 53 mins,1611586800,22.3 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","341 Eastern Pkwy, Brooklyn, NY 11216, USA",1 hour 29 mins,1611586800,19.4 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","134 Springfield Blvd, St. Albans, NY 11413, USA",1 hour 56 mins,1611586800,14.3 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","47-01 Queens Blvd, Sunnyside, NY 11104, USA",1 hour 17 mins,1611586800,13.6 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","115-20 Liberty Ave, Jamaica, NY 11419, USA",1 hour 4 mins,1611588600,8.4 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","9525 Church Ave, Brooklyn, NY 11212, USA",22 mins,1611588600,2.2 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","341 Eastern Pkwy, Brooklyn, NY 11216, USA",45 mins,1611588600,6.1 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","134 Springfield Blvd, St. Albans, NY 11413, USA",1 hour 42 mins,1611588600,13.4 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","47-01 Queens Blvd, Sunnyside, NY 11104, USA",1 hour 21 mins,1611588600,12.8 mi
"108-35 167th St, Jamaica, NY 11433, USA","115-20 Liberty Ave, Jamaica, NY 11419, USA",31 mins,1611588600,2.7 mi
"108-35 167th St, Jamaica, NY 11433, USA","9525 Church Ave, Brooklyn, NY 11212, USA",1 hour 19 mins,1611588600,10.2 mi
"108-35 167th St, Jamaica, NY 11433, USA","341 Eastern Pkwy, Brooklyn, NY 11216, USA",1 hour 18 mins,1611588600,20.5 mi
"108-35 167th St, Jamaica, NY 11433, USA","134 Springfield Blvd, St. Albans, NY 11413, USA",21 mins,1611588600,2.6 mi
"108-35 167th St, Jamaica, NY 11433, USA","47-01 Queens Blvd, Sunnyside, NY 11104, USA",48 mins,1611588600,8.9 mi
"102-29 215th St, Jamaica, NY 11429, USA","115-20 Liberty Ave, Jamaica, NY 11419, USA",55 mins,1611588600,5.9 mi
"102-29 215th St, Jamaica, NY 11429, USA","9525 Church Ave, Brooklyn, NY 11212, USA",1 hour 36 mins,1611588600,12.5 mi
"102-29 215th St, Jamaica, NY 11429, USA","341 Eastern Pkwy, Brooklyn, NY 11216, USA",1 hour 39 mins,1611588600,23.0 mi
"102-29 215th St, Jamaica, NY 11429, USA","134 Springfield Blvd, St. Albans, NY 11413, USA",28 mins,1611588600,2.9 mi
"102-29 215th St, Jamaica, NY 11429, USA","47-01 Queens Blvd, Sunnyside, NY 11104, USA",1 hour 5 mins,1611588600,11.1 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","115-20 Liberty Ave, Jamaica, NY 11419, USA",1 hour 19 mins,1611588600,21.6 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","9525 Church Ave, Brooklyn, NY 11212, USA",1 hour 15 mins,1611588600,17.3 mi
