origins,destinations,durations,departure_times,distance
"2300 Randall Ave, The Bronx, NY 10473, USA","760 Broadway, Brooklyn, NY 11206, USA",1 hour 39 mins,1611586800,18.8 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","800 Poly Pl, Brooklyn, NY 11209, USA",2 hours 8 mins,1611586800,24.8 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","259 1st St, Mineola, NY 11501, USA",2 hours 44 mins,1611586800,23.0 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","56-45 Main St, Flushing, NY 11355, USA",1 hour 43 mins,1611588600,13.4 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","900 Franklin Ave, Valley Stream, NY 11580, USA",2 hours 28 mins,1611588600,20.1 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","760 Broadway, Brooklyn, NY 11206, USA",1 hour 7 mins,1611588600,6.2 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","800 Poly Pl, Brooklyn, NY 11209, USA",1 hour 31 mins,1611588600,8.9 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","259 1st St, Mineola, NY 11501, USA",2 hours 31 mins,1611588600,20.9 mi
"108-35 167th St, Jamaica, NY 11433, USA","56-45 Main St, Flushing, NY 11355, USA",51 mins,1611588600,5.7 mi
"108-35 167th St, Jamaica, NY 11433, USA","900 Franklin Ave, Valley Stream, NY 11580, USA",52 mins,1611588600,9.4 mi
"108-35 167th St, Jamaica, NY 11433, USA","760 Broadway, Brooklyn, NY 11206, USA",1 hour 7 mins,1611588600,10.3 mi
"108-35 167th St, Jamaica, NY 11433, USA","800 Poly Pl, Brooklyn, NY 11209, USA",2 hours 1 min,1611588600,20.1 mi
"108-35 167th St, Jamaica, NY 11433, USA","259 1st St, Mineola, NY 11501, USA",1 hour 16 mins,1611588600,11.5 mi
"102-29 215th St, Jamaica, NY 11429, USA","56-45 Main St, Flushing, NY 11355, USA",54 mins,1611588600,7.6 mi
"102-29 215th St, Jamaica, NY 11429, USA","900 Franklin Ave, Valley Stream, NY 11580, USA",47 mins,1611588600,5.8 mi
"102-29 215th St, Jamaica, NY 11429, USA","760 Broadway, Brooklyn, NY 11206, USA",1 hour 21 mins,1611588600,12.5 mi
"102-29 215th St, Jamaica, NY 11429, USA","800 Poly Pl, Brooklyn, NY 11209, USA",2 hours 18 mins,1611588600,28.1 mi
"102-29 215th St, Jamaica, NY 11429, USA","259 1st St, Mineola, NY 11501, USA",45 mins,1611588600,7.1 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","56-45 Main St, Flushing, NY 11355, USA",1 hour 23 mins,1611588600,17.3 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","900 Franklin Ave, Valley Stream, NY 11580, USA",2 hours 9 mins,1611588600,30.2 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","760 Broadway, Brooklyn, NY 11206, USA",1 hour 4 mins,1611588600,13.3 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","800 Poly Pl, Brooklyn, NY 11209, USA",1 hour 36 mins,1611588600,20.4 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","259 1st St, Mineola, NY 11501, USA",2 hours 17 mins,1611588600,28.8 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","56-45 Main St, Flushing, NY 11355, USA",1 hour 9 mins,1611588600,8.0 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","900 Franklin Ave, Valley Stream, NY 11580, USA",2 hours 22 mins,1611588600,20.1 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","760 Broadway, Brooklyn, NY 11206, USA",1 hour 36 mins,1611588600,17.4 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","800 Poly Pl, Brooklyn, NY 11209, USA",1 hour 59 mins,1611588600,24.6 mi
