origins,destinations,departure_times,travel_time,departure_dt,hour,date
"108-35 167th St, Queens, NY 11433, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607956200,86,2020-12-14 09:30:00-05:00,9,2020-12-14
"108-35 167th St, Queens, NY 11433, USA","25-10 30th Ave, Queens, NY 11102, USA",1607956200,62,2020-12-14 09:30:00-05:00,9,2020-12-14
"108-35 167th St, Queens, NY 11433, USA","506 Lenox Ave, New York, NY 10037, USA",1607956200,76,2020-12-14 09:30:00-05:00,9,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607956200,128,2020-12-14 09:30:00-05:00,9,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607956200,124,2020-12-14 09:30:00-05:00,9,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607956200,111,2020-12-14 09:30:00-05:00,9,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","25-10 30th Ave, Queens, NY 11102, USA",1607956200,80,2020-12-14 09:30:00-05:00,9,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","506 Lenox Ave, New York, NY 10037, USA",1607956200,92,2020-12-14 09:30:00-05:00,9,2020-12-14
"1290 St Nicholas Ave, New York, NY 10033, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607956200,63,2020-12-14 09:30:00-05:00,9,2020-12-14
"1290 St Nicholas Ave, New York, NY 10033, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607956200,40,2020-12-14 09:30:00-05:00,9,2020-12-14
"1290 St Nicholas Ave, New York, NY 10033, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607956200,6,2020-12-14 09:30:00-05:00,9,2020-12-14
"1290 St Nicholas Ave, New York, NY 10033, USA","25-10 30th Ave, Queens, NY 11102, USA",1607956200,52,2020-12-14 09:30:00-05:00,9,2020-12-14
"1290 St Nicholas Ave, New York, NY 10033, USA","506 Lenox Ave, New York, NY 10037, USA",1607956200,35,2020-12-14 09:30:00-05:00,9,2020-12-14
"2300 Randall Ave, The Bronx, NY 10473, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607956200,51,2020-12-14 09:30:00-05:00,9,2020-12-14
"2300 Randall Ave, The Bronx, NY 10473, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607956200,57,2020-12-14 09:30:00-05:00,9,2020-12-14
"2300 Randall Ave, The Bronx, NY 10473, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607956200,79,2020-12-14 09:30:00-05:00,9,2020-12-14
"2300 Randall Ave, The Bronx, NY 10473, USA","25-10 30th Ave, Queens, NY 11102, USA",1607956200,78,2020-12-14 09:30:00-05:00,9,2020-12-14
"2300 Randall Ave, The Bronx, NY 10473, USA","506 Lenox Ave, New York, NY 10037, USA",1607956200,61,2020-12-14 09:30:00-05:00,9,2020-12-14
"1500 E 92nd St, Brooklyn, NY 11236, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607958000,140,2020-12-14 10:00:00-05:00,10,2020-12-14
"1500 E 92nd St, Brooklyn, NY 11236, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607958000,133,2020-12-14 10:00:00-05:00,10,2020-12-14
"1500 E 92nd St, Brooklyn, NY 11236, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607958000,100,2020-12-14 10:00:00-05:00,10,2020-12-14
"1500 E 92nd St, Brooklyn, NY 11236, USA","25-10 30th Ave, Queens, NY 11102, USA",1607958000,87,2020-12-14 10:00:00-05:00,10,2020-12-14
"1500 E 92nd St, Brooklyn, NY 11236, USA","506 Lenox Ave, New York, NY 10037, USA",1607958000,86,2020-12-14 10:00:00-05:00,10,2020-12-14
"108-35 167th St, Queens, NY 11433, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607958000,116,2020-12-14 10:00:00-05:00,10,2020-12-14
"108-35 167th St, Queens, NY 11433, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607958000,108,2020-12-14 10:00:00-05:00,10,2020-12-14
"108-35 167th St, Queens, NY 11433, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607958000,88,2020-12-14 10:00:00-05:00,10,2020-12-14
"108-35 167th St, Queens, NY 11433, USA","25-10 30th Ave, Queens, NY 11102, USA",1607958000,64,2020-12-14 10:00:00-05:00,10,2020-12-14
"108-35 167th St, Queens, NY 11433, USA","506 Lenox Ave, New York, NY 10037, USA",1607958000,80,2020-12-14 10:00:00-05:00,10,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607958000,128,2020-12-14 10:00:00-05:00,10,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607958000,116,2020-12-14 10:00:00-05:00,10,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607958000,107,2020-12-14 10:00:00-05:00,10,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","25-10 30th Ave, Queens, NY 11102, USA",1607958000,72,2020-12-14 10:00:00-05:00,10,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","506 Lenox Ave, New York, NY 10037, USA",1607958000,88,2020-12-14 10:00:00-05:00,10,2020-12-14
"1290 St Nicholas Ave, New York, NY 10033, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607958000,65,2020-12-14 10:00:00-05:00,10,2020-12-14
"1290 St Nicholas Ave, New York, NY 10033, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607958000,43,2020-12-14 10:00:00-05:00,10,2020-12-14
"1290 St Nicholas Ave, New York, NY 10033, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607958000,6,2020-12-14 10:00:00-05:00,10,2020-12-14
